timestamp,tank_id,pH,EC_mS_cm,temp_C,do_mg_L
2025-12-01 00:00:00,TANK_01,5.837,1.579,22.47,8.37
2025-12-01 00:10:00,TANK_01,5.843,1.559,22.2,8.02
2025-12-01 00:20:00,TANK_01,5.845,1.579,22.31,8.15
2025-12-01 00:30:00,TANK_01,5.835,1.568,22.06,8.17
2025-12-01 00:40:00,TANK_01,5.844,1.564,22.4,8.13
2025-12-01 00:50:00,TANK_01,5.845,1.569,22.22,8.25
2025-12-01 01:00:00,TANK_01,5.837,1.546,22.12,8.1
2025-12-01 01:10:00,TANK_01,5.837,1.562,21.9,8.27
2025-12-01 01:20:00,TANK_01,5.847,1.566,22.1,8.12
2025-12-01 01:30:00,TANK_01,5.841,1.576,21.99,8.32
2025-12-01 01:40:00,TANK_01,5.844,1.592,21.8,8.11
2025-12-01 01:50:00,TANK_01,5.824,1.581,21.87,8.06
2025-12-01 02:00:00,TANK_01,5.82,1.602,21.8,8.39
2025-12-01 02:10:00,TANK_01,5.81,1.577,21.82,8.08
2025-12-01 02:20:00,TANK_01,5.812,1.578,21.45,8.43
2025-12-01 02:30:00,TANK_01,5.828,1.584,21.5,8.29
2025-12-01 02:40:00,TANK_01,5.817,1.581,21.42,8.2
2025-12-01 02:50:00,TANK_01,5.826,1.566,21.31,8.08
2025-12-01 03:00:00,TANK_01,5.832,1.573,21.38,8.58
2025-12-01 03:10:00,TANK_01,5.842,1.564,21.56,8.17
2025-12-01 03:20:00,TANK_01,5.85,1.571,21.07,8.48
2025-12-01 03:30:00,TANK_01,5.854,1.576,21.03,8.48
2025-12-01 03:40:00,TANK_01,5.846,1.558,21.22,8.28
2025-12-01 03:50:00,TANK_01,5.847,1.577,21.13,8.4
2025-12-01 04:00:00,TANK_01,5.858,1.569,21.02,8.46
2025-12-01 04:10:00,TANK_01,5.866,1.567,20.43,8.51
2025-12-01 04:20:00,TANK_01,5.868,1.563,20.91,8.4
2025-12-01 04:30:00,TANK_01,5.871,1.548,20.59,8.47
2025-12-01 04:40:00,TANK_01,5.872,1.549,20.73,8.44
2025-12-01 04:50:00,TANK_01,5.873,1.55,20.69,8.5
2025-12-01 05:00:00,TANK_01,5.868,1.557,20.69,8.42
2025-12-01 05:10:00,TANK_01,5.864,1.561,20.67,8.31
2025-12-01 05:20:00,TANK_01,5.865,1.561,20.45,8.39
2025-12-01 05:30:00,TANK_01,5.85,1.55,20.3,8.42
2025-12-01 05:40:00,TANK_01,5.845,1.544,20.49,8.43
2025-12-01 05:50:00,TANK_01,5.838,1.536,20.27,8.47
2025-12-01 06:00:00,TANK_01,5.836,1.552,20.56,8.58
2025-12-01 06:10:00,TANK_01,5.858,1.54,20.43,8.53
2025-12-01 06:20:00,TANK_01,5.863,1.56,20.62,8.52
2025-12-01 06:30:00,TANK_01,5.87,1.549,20.16,8.57
2025-12-01 06:40:00,TANK_01,5.87,1.535,20.25,8.52
2025-12-01 06:50:00,TANK_01,5.88,1.534,20.22,8.5
2025-12-01 07:00:00,TANK_01,5.882,1.522,20.33,8.69
2025-12-01 07:10:00,TANK_01,5.891,1.507,20.23,8.32
2025-12-01 07:20:00,TANK_01,5.873,1.513,20.21,8.43
2025-12-01 07:30:00,TANK_01,5.852,1.5,20.22,8.5
2025-12-01 07:40:00,TANK_01,5.86,1.515,20.15,8.55
2025-12-01 07:50:00,TANK_01,5.859,1.51,20.16,8.6
2025-12-01 08:00:00,TANK_01,5.849,1.521,20.37,8.47
2025-12-01 08:10:00,TANK_01,5.852,1.506,20.48,8.54
2025-12-01 08:20:00,TANK_01,5.854,1.507,20.26,8.42
2025-12-01 08:30:00,TANK_01,5.858,1.497,20.27,8.42
2025-12-01 08:40:00,TANK_01,5.867,1.495,20.26,8.78
2025-12-01 08:50:00,TANK_01,5.876,1.498,20.25,8.39
2025-12-01 09:00:00,TANK_01,5.887,1.513,20.27,8.65
2025-12-01 09:10:00,TANK_01,5.887,1.495,20.2,7.47
2025-12-01 09:20:00,TANK_01,5.893,1.486,20.3,7.66
2025-12-01 09:30:00,TANK_01,5.885,1.486,20.44,7.56
2025-12-01 09:40:00,TANK_01,5.884,1.489,20.3,7.51
2025-12-01 09:50:00,TANK_01,5.874,1.487,20.33,7.75
2025-12-01 10:00:00,TANK_01,5.879,1.49,20.3,7.46
2025-12-01 10:10:00,TANK_01,5.886,1.484,20.39,7.28
2025-12-01 10:20:00,TANK_01,5.889,1.488,20.56,7.47
2025-12-01 10:30:00,TANK_01,5.898,1.486,20.28,7.8
2025-12-01 10:40:00,TANK_01,5.912,1.503,20.69,7.2
2025-12-01 10:50:00,TANK_01,5.902,1.505,20.68,6.99
2025-12-01 11:00:00,TANK_01,5.897,1.498,20.73,7.64
2025-12-01 11:10:00,TANK_01,5.891,1.502,20.58,7.53
2025-12-01 11:20:00,TANK_01,5.887,1.5,21.03,7.46
2025-12-01 11:30:00,TANK_01,5.886,1.509,20.92,7.24
2025-12-01 11:40:00,TANK_01,5.876,1.486,20.92,7.35
2025-12-01 11:50:00,TANK_01,5.871,1.483,21.05,8.41
2025-12-01 12:00:00,TANK_01,5.884,1.461,20.85,8.53
2025-12-01 12:10:00,TANK_01,5.891,1.469,21.08,8.3
2025-12-01 12:20:00,TANK_01,5.893,1.459,20.99,8.25
2025-12-01 12:30:00,TANK_01,5.895,1.465,21.44,8.32
2025-12-01 12:40:00,TANK_01,5.9,1.482,21.21,8.23
2025-12-01 12:50:00,TANK_01,5.896,1.48,21.62,8.22
2025-12-01 13:00:00,TANK_01,5.909,1.475,21.5,8.34
2025-12-01 13:10:00,TANK_01,5.915,1.482,21.43,8.42
2025-12-01 13:20:00,TANK_01,5.925,1.475,21.65,8.14
2025-12-01 13:30:00,TANK_01,5.927,1.463,21.74,8.52
2025-12-01 13:40:00,TANK_01,5.942,1.47,21.62,8.29
2025-12-01 13:50:00,TANK_01,5.954,1.469,21.82,8.05
2025-12-01 14:00:00,TANK_01,5.946,1.45,22.1,8.21
2025-12-01 14:10:00,TANK_01,5.954,1.448,21.77,8.24
2025-12-01 14:20:00,TANK_01,5.948,1.437,22.02,8.19
2025-12-01 14:30:00,TANK_01,5.947,1.429,21.97,8.19
2025-12-01 14:40:00,TANK_01,5.96,1.413,22.08,8.15
2025-12-01 14:50:00,TANK_01,5.959,1.407,22.46,8.14
2025-12-01 15:00:00,TANK_01,5.949,1.388,22.28,8.28
2025-12-01 15:10:00,TANK_01,5.952,1.364,22.2,8.16
2025-12-01 15:20:00,TANK_01,5.963,1.365,22.45,8.21
2025-12-01 15:30:00,TANK_01,5.976,1.358,22.56,7.99
2025-12-01 15:40:00,TANK_01,5.966,1.364,22.4,8.13
2025-12-01 15:50:00,TANK_01,5.969,1.372,22.5,8.13
2025-12-01 16:00:00,TANK_01,5.969,1.386,22.61,7.97
2025-12-01 16:10:00,TANK_01,5.974,1.377,22.6,8.17
2025-12-01 16:20:00,TANK_01,5.979,1.346,22.71,7.95
2025-12-01 16:30:00,TANK_01,5.986,1.36,23.13,8.05
2025-12-01 16:40:00,TANK_01,5.975,1.349,22.82,8.09
2025-12-01 16:50:00,TANK_01,5.989,1.329,23.06,8.09
2025-12-01 17:00:00,TANK_01,5.992,1.361,23.11,7.99
2025-12-01 17:10:00,TANK_01,5.999,1.355,22.96,8.06
2025-12-01 17:20:00,TANK_01,6.011,1.454,23.25,7.93
2025-12-01 17:30:00,TANK_01,6.028,1.354,23.25,8.04
2025-12-01 17:40:00,TANK_01,6.015,1.352,23.45,7.93
2025-12-01 17:50:00,TANK_01,6.029,1.361,23.05,8.07
2025-12-01 18:00:00,TANK_01,6.019,1.363,23.26,7.96
2025-12-01 18:10:00,TANK_01,6.019,1.365,23.29,7.82
2025-12-01 18:20:00,TANK_01,6.009,1.374,23.58,7.93
2025-12-01 18:30:00,TANK_01,6.018,1.383,23.24,7.78
2025-12-01 18:40:00,TANK_01,6.018,1.364,23.4,7.79
